Iteracion	Nombre	Promedio	Desviacion	Error(2sigma/raiz(n)*promedio)
Test 0
Occupation In
0	SPL_Time_insert(2^13)	1.0	0.0	0.0
0	VEB_Time_insert(2^13)	0.0	0.0	NaN
0	ABB_Time_successfulSearch(2^14)	1.0	0.0	0.0
0	AVL_Time_successfulSearch(2^14)	1.0	0.0	0.0
0	SPL_Time_insert(2^14)	1.0	0.0	0.0
0	VEB_Time_insert(2^14)	0.0	0.0	NaN
0	ABB_Time_successfulSearch(2^15)	1.0	0.0	0.0
0	AVL_Time_successfulSearch(2^15)	1.0	0.0	0.0
0	SPL_Time_insert(2^15)	1.0	0.0	0.0
0	VEB_Time_insert(2^15)	0.0	0.0	NaN
TIME unfavorable search
0	ABB_Time_unfavorableSearch(2^10)	8.0	0.0	0.0
0	AVL_Time_unfavorableSearch(2^10)	3.0	0.0	0.0
0	SPL_Time_unfavorableSearch(2^10)	1.0	0.0	0.0
0	VEB_Time_unfavorableSearch(2^10)	1.0	0.0	0.0
0	ABB_Time_unfavorableSearch(2^11)	1.0	0.0	0.0
0	AVL_Time_unfavorableSearch(2^11)	1.0	0.0	0.0
0	SPL_Time_unfavorableSearch(2^11)	1.0	0.0	0.0
0	VEB_Time_unfavorableSearch(2^11)	0.0	0.0	NaN
0	ABB_Time_unfavorableSearch(2^12)	0.0	0.0	NaN
0	AVL_Time_unfavorableSearch(2^12)	1.0	0.0	0.0
0	SPL_Time_unfavorableSearch(2^12)	1.0	0.0	0.0
0	VEB_Time_unfavorableSearch(2^12)	0.0	0.0	NaN
0	ABB_Time_unfavorableSearch(2^13)	1.0	0.0	0.0
0	AVL_Time_unfavorableSearch(2^13)	0.0	0.0	NaN
0	SPL_Time_unfavorableSearch(2^13)	1.0	0.0	0.0
0	VEB_Time_unfavorableSearch(2^13)	0.0	0.0	NaN
0	ABB_Time_unfavorableSearch(2^14)	1.0	0.0	0.0
0	AVL_Time_unfavorableSearch(2^14)	0.0	0.0	NaN
0	SPL_Time_unfavorableSearch(2^14)	1.0	0.0	0.0
0	VEB_Time_unfavorableSearch(2^14)	0.0	0.0	NaN
0	ABB_Time_unfavorableSearch(2^15)	1.0	0.0	0.0
0	AVL_Time_unfavorableSearch(2^15)	1.0	0.0	0.0
0	SPL_Time_unfavorableSearch(2^15)	1.0	0.0	0.0
0	VEB_Time_unfavorableSearch(2^15)	0.0	0.0	NaN
Test 1
Occupation In
1	ABB_OccIn(2^10)	65552.0	0.0	0.0
1	AVL_OccIn(2^10)	74032.0	248.90158697766472	0.004754700669980548
1	SPL_OccIn(2^10)	32824.0	0.0	0.0
1	VEB_OccIn(2^10)	16.0	0.0	0.0
1	ABB_OccIn(2^11)	131088.0	0.0	0.0
1	AVL_OccIn(2^11)	148296.0	169.7056274847714	0.001618384851917786
1	SPL_OccIn(2^11)	65592.0	0.0	0.0
1	VEB_OccIn(2^11)	16.0	0.0	0.0
1	ABB_OccIn(2^12)	262160.0	0.0	0.0
1	AVL_OccIn(2^12)	296336.0	497.80317395532944	0.0023756816586577396
1	SPL_OccIn(2^12)	131128.0	0.0	0.0
1	VEB_OccIn(2^12)	16.0	0.0	0.0
1	ABB_OccIn(2^13)	524304.0	0.0	0.0
1	AVL_OccIn(2^13)	593072.0	271.5290039756342	6.474761917608655E-4
1	SPL_OccIn(2^13)	262200.0	0.0	0.0
1	VEB_OccIn(2^13)	16.0	0.0	0.0
1	ABB_OccIn(2^14)	1048592.0	0.0	0.0
1	AVL_OccIn(2^14)	1185648.0	0.0	0.0
1	SPL_OccIn(2^14)	524328.0	22.627416997969522	6.103049999237119E-5
1	VEB_OccIn(2^14)	16.0	0.0	0.0
1	ABB_OccIn(2^15)	2097168.0	0.0	0.0
1	AVL_OccIn(2^15)	2370256.0	610.9402589451771	3.6451758797361974E-4
1	SPL_OccIn(2^15)	1048616.0	22.627416997969522	3.0516414016188958E-5
1	VEB_OccIn(2^15)	16.0	0.0	0.0
Occupation Out
1	ABB_OccOut(2^14)	1048592.0	11.313708498984761	7.629540053177894E-6
1	AVL_OccOut(2^14)	2370256.0	610.9402589451771	3.6451758797361974E-4
1	SPL_OccOut(2^14)	1048584.0	22.627416997969522	3.0517345296132686E-5
1	VEB_OccOut(2^14)	16.0	0.0	0.0
1	ABB_OccOut(2^13)	524304.0	0.0	0.0
1	AVL_OccOut(2^13)	2370256.0	610.9402589451771	3.6451758797361974E-4
1	SPL_OccOut(2^13)	1048552.0	22.627416997969522	3.051827663291854E-5
1	VEB_OccOut(2^13)	16.0	0.0	0.0
1	ABB_OccOut(2^12)	262160.0	0.0	0.0
1	AVL_OccOut(2^12)	2370256.0	610.9402589451771	3.6451758797361974E-4
1	SPL_OccOut(2^12)	1048520.0	22.627416997969522	3.051920802655171E-5
1	VEB_OccOut(2^12)	16.0	0.0	0.0
1	ABB_OccOut(2^11)	131088.0	0.0	0.0
1	AVL_OccOut(2^11)	2370256.0	610.9402589451771	3.6451758797361974E-4
1	SPL_OccOut(2^11)	1048488.0	22.627416997969522	3.052013947703741E-5
1	VEB_OccOut(2^11)	16.0	0.0	0.0
1	ABB_OccOut(2^10)	65552.0	0.0	0.0
1	AVL_OccOut(2^10)	2370256.0	610.9402589451771	3.6451758797361974E-4
1	SPL_OccOut(2^10)	1048456.0	22.627416997969522	3.0521070984380843E-5
1	VEB_OccOut(2^10)	16.0	0.0	0.0
TIME in
1	ABB_Time_insert(2^10)	1.5	2.1213203435596424	1.9999999999999996
1	AVL_Time_insert(2^10)	13.5	7.7781745930520225	0.8148148148148148
1	SPL_Time_insert(2^10)	3.0	2.8284271247461903	1.3333333333333333
1	VEB_Time_insert(2^10)	0.5	0.7071067811865476	2.0
1	ABB_Time_insert(2^11)	0.0	0.0	NaN
1	AVL_Time_insert(2^11)	39.5	9.192388155425117	0.3291139240506329
1	SPL_Time_insert(2^11)	1.0	0.0	0.0
1	VEB_Time_insert(2^11)	0.0	0.0	NaN
1	ABB_Time_insert(2^12)	1.0	0.0	0.0
1	AVL_Time_insert(2^12)	166.5	20.506096654409877	0.17417417417417413
1	SPL_Time_insert(2^12)	2.0	0.0	0.0
1	VEB_Time_insert(2^12)	0.5	0.7071067811865476	2.0
1	ABB_Time_insert(2^13)	1.0	0.0	0.0
1	AVL_Time_insert(2^13)	625.0	123.03657992645927	0.2784
1	SPL_Time_insert(2^13)	2.0	1.4142135623730951	1.0
1	VEB_Time_insert(2^13)	0.5	0.7071067811865476	2.0
1	ABB_Time_insert(2^14)	2.5	0.7071067811865476	0.4
1	AVL_Time_insert(2^14)	3867.0	1415.6277759354682	0.5177139901732609
1	SPL_Time_insert(2^14)	2.0	0.0	0.0
1	VEB_Time_insert(2^14)	0.0	0.0	NaN
1	ABB_Time_insert(2^15)	5.0	0.0	0.0
1	AVL_Time_insert(2^15)	21310.0	10070.61477765881	0.6683247301736274
1	SPL_Time_insert(2^15)	4.0	0.0	0.0
1	VEB_Time_insert(2^15)	0.0	0.0	NaN
TIME out
1	ABB_Time_deleting(2^14)	5.0	1.4142135623730951	0.4
1	AVL_Time_deleting(2^14)	0.0	0.0	NaN
1	SPL_Time_deleting(2^14)	1.5	2.1213203435596424	1.9999999999999996
1	VEB_Time_deleting(2^14)	0.5	0.7071067811865476	2.0
1	ABB_Time_deleting(2^13)	0.5	0.7071067811865476	2.0
